feature,rf_importance,rank_rf
avg_speed_kmh,0.19594505856995323,1
duration_minutes_log,0.18635135636987074,2
haversine_distance_km,0.1201390306076659,3
end_station_freq,0.08756249950742426,4
start_station_freq,0.07911050660584737,5
hour_cos,0.04599226996649725,6
hour_sin,0.0456705345626848,7
month_cos,0.042390745457694064,8
month_sin,0.03829922892481239,9
dayofweek_sin,0.03549612309981105,10
has_end_station,0.033578240678932565,11
has_start_station,0.023092909699504557,12
is_electric_bike,0.017242837445345386,13
is_weekend,0.01711930172435133,14
dayofweek_cos,0.01677701743365241,15
is_morning_rush,0.010389403322925924,16
is_evening_rush,0.0048429360230268165,17
