feature,coefficient,abs_coefficient,rank
duration_minutes_log,-0.7364333701256651,0.7364333701256651,1
haversine_distance_km,0.46203783661700276,0.46203783661700276,2
has_start_station,-0.266880230852931,0.266880230852931,3
has_end_station,-0.26594103133916497,0.26594103133916497,4
is_morning_rush,0.15804664615458125,0.15804664615458125,5
is_electric_bike,-0.15205731107440643,0.15205731107440643,6
start_station_freq,0.12488485852492909,0.12488485852492909,7
end_station_freq,0.11349766607540934,0.11349766607540934,8
dayofweek_sin,0.1003996351388343,0.1003996351388343,9
avg_speed_kmh,-0.0954019109884675,0.0954019109884675,10
is_evening_rush,0.08980140734059894,0.08980140734059894,11
month_cos,0.07981478136755026,0.07981478136755026,12
is_weekend,-0.046948765271351646,0.046948765271351646,13
hour_cos,-0.04469995027116214,0.04469995027116214,14
dayofweek_cos,0.009421414391958503,0.009421414391958503,15
hour_sin,-0.0028842618420701,0.0028842618420701,16
month_sin,0.0012569737509547257,0.0012569737509547257,17
